Group_Code,NAME_sched,SEND_to,CC_S,,,
8617,KATANA WAREHOUSE,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8621,TIRE WEB,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8614,Avatco Inc - Camille Lopez de Leon,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8613,Avatco Inc - Juliet Escalante,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8611,Avat Construction & Development,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8618,KATANA SALES,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8462,ADMIN,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8547,ADMIN2,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8606,AP American Tire - Glendale Central,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8607,ATD Holdings - Cathedral City,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8608,ATD Holdings - Glendale,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8609,ATD Holdings - Thousand Oaks,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8610,ATD Holdings - Ventura,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8615,AVRA LLC,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8619,MS American Tire - Bellflower,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8620,Tire Hawk Enterprises - Hollywood,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
8468,Driver,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,vjdelrosario@avatco.com;TTPhan@avatco.com;raquel@avatco.com,,,
